smiles,pic50,scaffold,n_measurements,logS
CC(=O)NCCN(Cc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cccc(C#N)c1)C(=O)OCCF,5.77,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.158864974975586
CC(=O)NCCNC(=O)C1CCCN1Cc1ccc(OCc2cccc(-c3ccccc3)c2C)c([N+](=O)[O-])c1,7.25,c1ccc(-c2cccc(COc3ccc(CN4CCCC4)cc3)c2)cc1,1,-5.983314037322998
CC(=O)NCCNCc1cc(Br)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)cc1OCc1cccc(C#N)c1,8.15,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.387272357940674
CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,6.43,O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)c1)c1cccn2cnnc12,1,-4.359755039215088
CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,6.25,O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)c1)c1cccn2cnnc12,1,-4.331240177154541
CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)c2nncn2c1,5.83,O=C(Nc1cccc(-c2ccccc2)c1)c1cccn2cnnc12,1,-4.175875186920166
CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,8.6,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.9337849617004395
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cccc(C#N)c1,7.96,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.300068378448486
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,8.04,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-6.817132472991943
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cocn1,7.3,c1cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc(OCc2cocn2)c1,1,-6.652401447296143
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCC1CC1,6.0,c1ccc(-c2cccc(COc3cccc(OCC4CC4)c3)c2)cc1,1,-7.459295749664307
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.89,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-7.248516082763672
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,7.21,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.76203727722168
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,6.26,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.299902439117432
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1,7.02,c1cncc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)c1,1,-6.725401878356934
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cncc(C#N)c1,6.73,c1ccc(-c2cccc3c(Oc4cccc(OCc5cccnc5)c4)ncnc23)cc1,1,-7.024742603302002
CC(=O)NCCNCc1cc([N+](=O)[O-])c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,8.09,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.35236120223999
CC(=O)NCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1,7.28,c1ccc(-c2cccc(-c3ccccn3)c2)cc1,1,-3.2285070419311523
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1,6.21,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.958419799804687
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1C,6.34,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.8635411262512207
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1Cl,6.23,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-4.6318769454956055
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1O,6.22,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-4.4398016929626465
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cccc(C#N)c1,5.97,O=C(c1cccc(OCc2ccccc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-6.743842124938965
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.51,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-5.778478622436523
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cncc(C#N)c1,6.81,O=C(c1cccc(OCc2cccnc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-5.772974967956543
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,6.76,O=C(c1cccs1)N1CCc2c(-c3ccccc3)cccc21,1,-3.5887465476989746
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)nc1,6.55,O=C(Nc1ccccn1)c1cccc(-c2ccc3c(c2)OCCO3)c1,1,-4.747211456298828
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1,6.3,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.485196113586426
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1F,6.24,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.731292724609375
CC(=O)NCCNCc1ccc(NCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,5.31,c1ccc(COc2cccc(NCc3cccc(-c4ccccc4)c3)c2)cc1,1,-6.558579921722412
CC(=O)NCCNCc1ccc(O)c(C(=O)C=Cc2cccc(-c3ccccc3)c2C)c1,5.28,O=C(C=Cc1cccc(-c2ccccc2)c1)c1ccccc1,1,-4.972968101501465
CC(=O)NCCNCc1ccc(OC(=O)c2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,6.3,O=C(Oc1cccc(OCc2ccccc2)c1)c1cccc(-c2ccccc2)c1,1,-7.182457447052002
CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c3ccccc23)cc1OCc1cncc(C#N)c1,6.33,c1cncc(COc2cccc(OCc3ccc(COc4cccc(OCc5cccnc5)c4)c4ccccc34)c2)c1,1,-7.152773857116699
CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)cc2)cc1OCc1cncc(C#N)c1,5.08,c1cncc(COc2cccc(OCc3ccc(COc4cccc(OCc5cccnc5)c4)cc3)c2)c1,1,-6.637641906738281
CC(=O)NCCNCc1ccc(OCc2ccc3cc(COc4ccc(CNCCNC(C)=O)c(OCc5cncc(C#N)c5)c4)ccc3c2)cc1OCc1cncc(C#N)c1,5.93,c1cncc(COc2cccc(OCc3ccc4cc(COc5cccc(OCc6cccnc6)c5)ccc4c3)c2)c1,1,-7.04917573928833
CC(=O)NCCNCc1ccc(OCc2cccc(-c3cc(F)ccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.933953285217285
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccc(C#N)c1,6.57,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.417456150054932
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C(F)F)cc1OCc1cncc(C#N)c1,7.76,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.936156272888184
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2CF)cc1OCc1cncc(C#N)c1,7.6,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.408456802368164
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,6.36,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.603320598602295
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2C)c([N+](=O)[O-])c1,7.88,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-5.6153435707092285
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2C)nc1,6.96,c1ccc(-c2cccc(COc3ccccn3)c2)cc1,1,-3.835844039916992
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2C(F)F)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.4541239738464355
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2C)cc1OCc1cncc(C#N)c1,4.61,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.35133171081543
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cccc(C#N)c1,7.0,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.491617202758789
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.5,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.9870452880859375
CC(=O)NCCNCc1ccc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,6.9,c1ccc(-c2cccc3c2CCN3c2ncnc3ccccc23)cc1,1,-3.998706102371216
CC(=O)NCCNCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)noc2c1,6.08,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.324979782104492
CC(=O)NCCNCc1ccc2c(Nc3cccc(-c4ccccc4)c3Cl)noc2c1,5.69,c1ccc(-c2cccc(Nc3noc4ccccc34)c2)cc1,1,-6.140619277954102
CC(=O)NCCNCc1ccc2c(c1)C(=O)N(Cc1cccc(-c3ccccc3)c1C)C2=O,5.27,O=C1c2ccccc2C(=O)N1Cc1cccc(-c2ccccc2)c1,1,-5.041517734527588
CC(=O)NCCNCc1ccc2c(c1)C(=O)N(c1cccc(-c3ccccc3)c1C)C2=O,6.23,O=C1c2ccccc2C(=O)N1c1cccc(-c2ccccc2)c1,1,-4.95402717590332
CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1,5.85,O=c1cc(-c2cccc(-c3ccccc3)c2)oc2ccccc12,1,-5.29536771774292
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)c2c1,6.36,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.302947521209717
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccccc4)c3Cl)c2c1,6.71,c1ccc(-c2cccc(Nc3noc4ccccc34)c2)cc1,1,-6.108697891235352
CC(=O)NCCNCc1cccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)c1,6.13,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.9125454425811768
CC(=O)NCCNCc1cccc(Nc2nnc(-c3cccc(-c4ccccc4)c3C)o2)c1,4.47,c1ccc(Nc2nnc(-c3cccc(-c4ccccc4)c3)o2)cc1,1,-4.915829181671143
CC(=O)NCCNCc1ccnc(NC(=O)c2cccc(-c3ccccc3)c2Cl)c1,6.05,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.479677200317383
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,7.73,O=C(c1nccs1)N1CCc2c(-c3ccc4c(c3)OCCO4)cccc21,1,-3.956064224243164
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,7.27,O=C(c1nccs1)N1CCc2c(-c3ccccc3)cccc21,1,-3.659761428833008
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.86,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1,-3.953403949737549
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.07,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1,-3.9993808269500737
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.41,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1,-3.8039088249206543
CC(=O)NCCNCc1ncc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,6.18,O=C(c1cncs1)N1CCc2c(-c3ccccc3)cccc21,1,-4.053100109100342
CC(=O)NCCNc1nc(Cl)nc(OCc2cccc(-c3ccccc3)c2C)n1,6.5,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1,-4.830677032470703
CC(=O)NCCNc1ncnc(OCc2cccc(-c3ccccc3)c2C)n1,6.94,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1,-4.367051601409912
CC(=O)OCOC(=O)C1CCCCN1Cc1cc(Cl)c(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,7.54,c1cc(COc2ccc(CN3CCCCC3)c(OCc3ccncc3)c2)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.602056503295898
CC(=O)c1ccc(C(=O)N2CCC(NC(=O)c3nc(-n4cncn4)c4ccccc4n3)CC2)cc1,7.77,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1nc(-n2cncn2)c2ccccc2n1,1,-3.4898264408111572
CC(=O)c1ccc(NC(=O)c2nc(-n3ccnc3)c3ccccc3n2)cc1,7.08,O=C(Nc1ccccc1)c1nc(-n2ccnc2)c2ccccc2n1,1,-4.026083946228027
CC(C(=O)O)N1CCc2nc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2C1,7.5,c1ccc(-c2cccc(COc3ccc4c(n3)CCNC4)c2)cc1,1,-5.159393787384033
CC(C)(C)OCC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Cl)cc1OCc1ccc2nonc2c1)C(=O)NC(CO)C(=O)O,6.41,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-6.428605556488037
CC(C)(CO)NCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.64,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-6.649351119995117
CC(C)(CO)NCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cncc(C#N)c1,6.94,O=C(c1cccc(OCc2cccnc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-6.57728910446167
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.85,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1,-4.230262756347656
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.35,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1,-5.340856552124023
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.2,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1,-4.392223358154297
CC(C)(NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cccc(C#N)c1)C(=O)O,7.05,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)cc1,1,-7.392644882202148
CC(C)(NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cccc(C#N)c1)C(=O)O,6.82,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccccc5)cccc34)c2)cc1,1,-7.487865924835205
CC(C)=CCOc1cc(OCc2cccc(-c3ccccc3)c2Br)c(Cl)cc1CNC(CO)C(=O)O,7.74,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-6.852551460266113
CC(C)C(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,6.7,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.173203945159912
CC(C)C(NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.13,c1cc(Nc2nsc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.79744815826416
CC(C)CC(NC(=O)C(CC(C)C)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Cl)cc1OCc1ccc2nonc2c1)C(=O)O,5.8,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-6.764803886413574
CC(C)CC(NC(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,5.87,O=C(CNC(=O)C(Cc1c[nH]cn1)NC(=O)CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCCc1c[nH]c2ccccc12,1,-2.475623846054077
CC(C)CC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,7.21,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.959331512451172
CC(C)OC(=O)C(CO)NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccnc1,8.0,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.987204551696777
CC(C)OC(=O)C(CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,7.34,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.257273197174072
CC(C)OC(=O)CN1CCc2nc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2C1,6.36,c1ccc(-c2cccc(COc3ccc4c(n3)CCNC4)c2)cc1,1,-6.153201580047607
CC(C)OC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.82,c1cc(-c2nc(C3CCNCC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-3.491215467453003
CC(C)OC(=O)N1CCS(=O)(=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,8.4,O=S1(=Nc2cc(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)n2)CCNCC1,1,-3.749434471130371
CC(C)OC(=O)c1ccc(-c2ccccc2)cc1,7.35,c1ccc(-c2ccccc2)cc1,1,-5.054315567016602
CC(C)c1ccc(C(=O)N2CCC(NC(=O)c3nc(-n4ccnc4)c4ccccc4n3)CC2)cc1,7.41,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1nc(-n2ccnc2)c2ccccc2n1,1,-3.943108081817627
CC(C)c1nc2ccccc2n1-c1nc(N=S(C)(C)=O)cc(N2CCOCC2C)n1,7.77,c1ccc2c(c1)ncn2-c1nccc(N2CCOCC2)n1,1,-3.9640066623687744
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cccc(C#N)c1,7.73,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)cc1,1,-7.100032329559326
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1,8.8,c1cncc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)c1,1,-6.3940534591674805
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cccc(C#N)c1,7.64,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccccc5)cccc34)c2)cc1,1,-7.186458587646484
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cncc(C#N)c1,7.49,c1ccc(-c2cccc3c(Oc4cccc(OCc5cccnc5)c4)ncnc23)cc1,1,-6.787539005279541
