rank,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,composite
15,CC(=O)N1CCC(n2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)n2)CC1,7.2945,-3.9406,-14.1499996,3.0,0.7408862035113499
16,CS(=O)(=O)CC1(O)CC(O)C1n1ccc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n1,7.6603,-3.9698,-9.5100002,3.0,0.7364044625311779
17,CC(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,7.257,-3.982,-14.0100002,3.0,0.7346554961846656
18,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6c(Nc7cnccn7)c(C(=O)N7CCNCC7)n[nH]c6=O)cc5C4)[nH]c3c2)n1,7.8691,-4.6474,-13.3100004,3.0,0.7331323167709933
19,CN1CCN(Cc2nocc2-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CC1,7.3118,-4.0779,-13.3299999,3.0,0.7283255213875615
20,CC(C)(CS(=O)(=O)n1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)cc1CO)S(C)(=O)=O,7.5803,-4.3933,-13.3199997,3.0,0.7280599709763115
21,COC(=O)N1CCN(CC(C(O)CN2CCCC2=O)n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,7.7043,-4.5414,-13.2399998,3.0,0.7273065023446522
22,CN(C)C1CCN(C(=O)c2c[nH]nc2-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C1,7.7443,-4.6312,-13.4799995,3.0,0.7261046397710141
23,CC(=O)N1CCC(c2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c[nH]2)C1,7.4086,-4.0965,-11.8699999,3.0,0.7249857917675011
24,COC1(C#Cc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(NC6CNCC(O)(CO)C6)n5)cc4[nH]2)CO3)CN(C)C1,7.895,-3.2699,-13.2700005,2.0,0.7213766222172006
25,Cc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(C(=O)N7CCC8(CO)CCCNC78)[nH]6)cc5C4)[nH]c3c2)n1,7.8027,-4.8392,-14.1000004,3.0,0.7212230866973814
26,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6ncncc6C6COCCN6)cc5C4)[nH]c3c2)n1,7.4102,-4.3612,-13.6499996,3.0,0.7197338388245178
27,C=CC(=O)N1CCC(N2CCOCC2)C(c2ccc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)nc2)C1,7.7358,-4.7923,-13.8299999,3.0,0.7175714243115127
28,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6ccn(C7CN(C8COC8)C7)n6)cc5C4)[nH]c3c2)n1,7.3741,-4.3011,-13.0900002,3.0,0.7173269328563056
29,CC(=O)N1CCc2c(nc(N3CCNC(CO)C3)nc2-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C1,7.814,-3.4054,-14.7600002,2.0,0.7163729433452221
30,CC(=O)N1C2COC1CC(n1ncnc1Nc1ccc3c(c1)CC(c1nc4ccc(-c5ccnc(N)n5)cc4[nH]1)CO3)C2,7.6417,-4.7407,-14.1899996,3.0,0.7162168182761472
31,CS(=O)(=O)n1ncc(-c2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cnc2N)n1,7.4963,-4.5075,-13.3900003,3.0,0.7151831113713077
32,CN(C)C1CCN(c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.5224,-4.4841,-12.7799997,3.0,0.7146989715431702
33,CN(C)C1CCN(c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.5224,-4.4841,-12.7799997,3.0,0.7146989715431702
34,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc7c(c6)C6CCC(O)(n8cncn8)C6C7c6ncc[nH]6)cc5C4)[nH]c3c2)n1,7.5393,-4.7613,-15.0900002,3.0,0.7131361160625985
35,CC(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)nn2)CC1,6.8409,-3.8834,-14.1400003,3.0,0.7112611846079989
36,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(N7CCN8CCC(C8)C7)nc6)cc5C4)[nH]c3c2)n1,7.4838,-4.6445,-14.1000004,3.0,0.7101526036212469
37,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnn(CC7CCN(CCO)C7)c6)cc5C4)[nH]c3c2)n1,7.4916,-4.5053,-12.5600004,3.0,0.7097213687883497
38,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6cnc7c6CCNC(=O)C7=O)cc5C4)[nH]c3c2)n1,7.2244,-4.3288,-13.8299999,3.0,0.7093289412558529
39,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6ccnc6C#CCN6CCOCC6)cc5C4)[nH]c3c2)n1,7.4175,-4.4331,-12.5299997,3.0,0.7086539667592112
40,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6c[nH]c(C(=O)N7CCS(=O)(=O)CC7)c6)cc5C4)[nH]c3c2)n1,7.6363,-4.8844,-14.2299995,3.0,0.7070408896913349
41,Nc1nccc(-c2ccc3nc(C4COc5ccc(C6CCCC6NCc6[nH]ncc6C(=O)N6CCCC6)cc5C4)[nH]c3c2)n1,7.7462,-4.6804,-10.8500004,3.0,0.7064941856873573
42,Nc1nccc(-c2ccc3nc(C4COc5ccc(CCN6CCOC6CN6CCN(CCO)C(=O)C6)cc5C4)[nH]c3c2)n1,7.5506,-3.0399,-12.5799999,2.0,0.7062915807440358
43,CC(O)C(C)(O)c1cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n[nH]c1=O,7.4046,-4.6211,-14.1199999,3.0,0.7059609630123628
44,Cn1cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)nc1NCC1CCC(N2CCOCC2)=N1,7.264,-4.4045,-13.4899998,3.0,0.7053111058076476
45,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnn(C7CC(O)C(CO)O7)c6)cc5C4)[nH]c3c2)n1,7.4311,-4.6164,-13.6199999,3.0,0.7050270285726887
46,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc7n6CC(O)CC7)cc5C4)[nH]c3c2)n1,7.3995,-4.641,-13.9899998,3.0,0.703513723039226
47,CC(C)N(C)C1COC(n2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cc2C(=O)O)C1,7.6395,-4.8709,-13.1700001,3.0,0.7014104561698005
48,COc1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N6CCC(N(C)C)C6)n5)cc4[nH]2)CO3)nn1C,7.3399,-4.499,-12.7299995,3.0,0.7001048978375013
49,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6n[nH][n+]([O-])n6)cc5C4)[nH]c3c2)n1,6.7187,-3.8506,-13.4200001,3.0,0.6998307449421223
50,Cn1c(=O)n(C2CCC(N)C2O)c2cncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c21,7.6082,-4.9399,-13.71,3.0,0.6982042532694284
51,CN(C)CCS(=O)(=O)n1cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)cn1,7.4594,-4.6785,-12.6599998,3.0,0.6971116751311933
52,CC(=O)N1CCN(CC2(O)COC2)CC1CN1CCN(c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CC1,7.8095,-3.5545,-13.1899996,2.0,0.6967269726340026
53,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnn(C7CC(O)C(O)CO7)c6)cc5C4)[nH]c3c2)n1,7.3284,-4.7384,-14.6899996,3.0,0.6966259351678403
54,CSc1nnc(CN2CCCN(C)CC2)c(Nc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n1,7.2092,-4.1285,-9.9399996,3.0,0.6961749789791174
55,NCCNCC1(O)CCN(c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CCN1,7.6568,-3.2867,-12.0600004,2.0,0.6952450356514405
56,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cc(C7(Cn8cncn8)CCCO7)[nH]n6)cc5C4)[nH]c3c2)n1,7.4573,-4.8482,-14.0500002,3.0,0.6950920552417716
57,Cn1nnnc1-c1ccc2c(c1)CC(c1nc3ccc(-c4ccnc(N5CCC(CO)C5)n4)cc3[nH]1)CO2,6.991,-4.2912,-13.8299999,3.0,0.6946314751336291
58,CC(C)N1CC(=O)C(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.5057,-4.8778,-13.6499996,3.0,0.6942358422647228
59,CN(C)CCN1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,7.4371,-4.5194,-10.8599997,3.0,0.6940846619212897
60,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cc(C7(N)OC(CO)C(O)C7O)ncn6)cc5C4)[nH]c3c2)n1,7.3905,-3.2705,-14.5699997,2.0,0.692693298685932
61,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cncn(CC7CCNCC7)c6=O)cc5C4)[nH]c3c2)n1,7.5133,-4.8973,-13.4099998,3.0,0.6920454715891118
62,Cc1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)nn1C1CCN(C)CC1,7.2224,-4.6316,-14.1199999,3.0,0.6919821074793512
63,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnn(C7OC(CO)C(O)C7n7nncc7CO)c6)cc5C4)[nH]c3c2)n1,7.4925,-3.3853,-14.3999996,2.0,0.6918552541309123
64,C=CS(=O)(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(NC)n6)cc5[nH]3)CO4)cn2)CC1C(=O)O,7.5348,-4.9057,-13.1199999,3.0,0.6912523905323116
65,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cncc(C7=CC(CO)NC7)n6)cc5C4)[nH]c3c2)n1,7.3466,-4.7233,-13.4200001,3.0,0.690862629652616
66,Nc1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(NC6CCNCC6)n5)cc4[nH]2)CO3)cc(=O)[nH]1,7.6311,-5.1289,-14.0200005,3.0,0.6899589433579411
67,CN1CC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c(O)n2)C1,7.2164,-4.5916,-13.46,3.0,0.6898784779508815
68,CNC(=O)C1CCCN(C(CO)c2cc(C(=O)N3CC(O)C3)c(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,8.4083,-4.5395,-14.9499998,2.0,0.6897175839487995
69,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cccc7c6C(=O)N(C6CCCS(=O)(=O)C6)CC7)cc5C4)[nH]c3c2)n1,7.3891,-4.9391,-14.8900003,3.0,0.6897115540739328
70,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6nccc(N7CCCC7C(=O)O)n6)cc5C4)[nH]c3c2)n1,7.5799,-5.055,-13.8299999,3.0,0.6896590991605869
71,Nc1nccc(-c2ccc3nc(C4COc5ccc(NC6OC(O)C7C6CCN7C(=O)CO)cc5C4)[nH]c3c2)n1,7.7689,-3.6268,-13.1599998,2.0,0.6890235941744358
72,CNc1nccc(-c2ccc3nc(C4COc5ccc(-c6n[nH]cc6CN6CCOCC6)cc5C4)[nH]c3c2)n1,7.3522,-4.724,-13.0699997,3.0,0.6890113815917578
73,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cncn6CC6CCCNC6)cc5C4)[nH]c3c2)n1,7.4149,-4.8369,-13.4200001,3.0,0.6887132110283274
74,CC(=O)N1CCN(CC2CN(c3nccc(-c4ccc5nc(C6COc7ccc(N)cc7C6)[nH]c5c4)n3)CCO2)CC1,7.6372,-3.5356,-13.6400003,2.0,0.6881701085926686
75,Cc1cc(C2CCCN(Cc3nnc(-c4ccc5c(c4)CC(c4nc6ccc(-c7ccnc(N)n7)cc6[nH]4)CO5)o3)C2)n[nH]1,7.2143,-4.6911,-14.1899996,3.0,0.6880925137094988
76,Nc1nccc(-c2ccc3nc(C4COc5ccc(NCc6ccnc(N7CCCC(N)C7)n6)cc5C4)[nH]c3c2)n1,7.1876,-4.5537,-13.1300001,3.0,0.6880660836743601
77,CN1CC(c2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)co2)CC1=O,7.5989,-5.1087,-13.8000002,3.0,0.6874818410340932
78,CN1CCC(Nc2nccc(-c3ccc4nc(C5COc6ccc(N7CCC8CN(C(=O)OCC9CN(CCO)CCO9)CCC87)cc6C5)[nH]c4c3)n2)CC1,7.8459,-3.7232,-12.8999996,2.0,0.6869449030262106
79,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6nccc(N=CC7CCOCC7)c6=O)cc5C4)[nH]c3c2)n1,7.5904,-5.0314,-13.04,3.0,0.6869072250226659
80,CNCCN1CC(Cn2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CCC1=O,7.5028,-4.9315,-12.96,3.0,0.6862778469080976
81,CC(=O)N1CCC(c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C(C(=O)N2CCNCC2)C1,7.8991,-3.8578,-13.4899998,2.0,0.6861079424392108
82,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnn(C7CCS(=O)(=O)C7)c6)cc5C4)[nH]c3c2)n1,7.4639,-4.9767,-13.8000002,3.0,0.6859123490861646
83,CN1CC(c2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)on2)C1,7.1976,-4.6382,-13.4399996,3.0,0.6854477705123228
84,C=CC(C)(CO)N1CCN(Cc2ccc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C(=O)C1,7.3962,-4.8146,-12.8500004,3.0,0.6851383902466723
85,CC1CN(O)CCN1C(=O)CN1CC2CN(c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)CC1O2,7.6464,-3.5774,-13.4099998,2.0,0.6847580077177603
86,Nc1nccc(-c2ccc3nc(C4COc5ccc(NCC(O)c6ccc(C(O)CO)cn6)cc5C4)[nH]c3c2)n1,6.9745,-4.2712,-12.1199999,3.0,0.6838531092720118
87,CC(=O)N1CC(CO)C(Nc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C1,7.4636,-3.3502,-13.1000004,2.0,0.6837163878940433
88,N#Cc1cn(CC2CCNCC2)cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)c1=O,7.4729,-5.0125,-13.6999998,3.0,0.6836861589013342
89,Nc1nccc(-c2ccc3nc(C4COc5ccc(N6CC(O)CCC(O)(CO)C6)cc5C4)[nH]c3c2)n1,7.5846,-3.4915,-12.9499998,2.0,0.682727818617701
90,CNC1(C(N)=O)CN(c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CC1CO,7.4584,-3.3279,-12.71,2.0,0.6822683667852998
91,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6n[nH]c(C7(O)C(O)C(O)C(O)C7CO)n6)cc5C4)[nH]c3c2)n1,7.4735,-3.5552,-14.6499996,2.0,0.6813679181158345
92,CS(=O)(=O)N1CCC(n2ccc(Nc3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)nc2=O)CC1,7.4856,-4.9891,-12.8999996,3.0,0.6810191962195778
93,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6nc7c(s6)CCN7C(=O)CO)cc5C4)[nH]c3c2)n1,7.3633,-4.9213,-13.6099997,3.0,0.6808382869246777
94,CN(C)C1CN(C(=O)Cc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CCNC1=O,7.7323,-3.7519,-13.4300003,2.0,0.6801929803037362
95,CC(=O)N1CCC(Nc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C(O)C1,7.4828,-3.4626,-13.4200001,2.0,0.6800798300078245
96,Nc1nccc(-c2ccc3nc(C4COc5ccc(CC(O)C(=O)N6CCNCC6)cc5C4)[nH]c3c2)n1,7.4452,-3.4223,-13.4399996,2.0,0.6799916394779839
97,CC(O)CCNc1ncc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)c2ncn(C3CC3)c(=O)c12,7.6047,-5.1902,-13.3400002,3.0,0.6798686214036738
98,Nc1nccc(-c2ccc3nc(C4COc5ccc(OCC(=O)N6CCC(N7CCS(=O)(=O)CC7)CC6)cc5C4)[nH]c3c2)n1,7.6305,-3.6425,-13.46,2.0,0.6798195034514573
99,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(C(O)NC7CNCC7n7cccn7)cn6)cc5C4)[nH]c3c2)n1,7.8302,-3.9006,-13.6000004,2.0,0.6790771750881416
100,CC(=O)N1CCN(c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)CC1CO,7.5707,-3.5685,-13.2799997,2.0,0.6789606244732989
