cluster_id,size,centroid_SMILES,mean_Tyrosine_PiStacking,mean_Solubility,mean_pIC50,mean_Docking_Score,mean_composite
19,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(C6CCCC6NCc6[nH]ncc6C(=O)N6CCCC6)cc5C4)[nH]c3c2)n1,3.0,-4.6804,7.7462,-10.8500004,0.7064941856873573
13,1,CS(=O)(=O)n1ncc(-c2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cnc2N)n1,3.0,-4.5075,7.4963,-13.3900003,0.7151831113713077
14,2,CS(=O)(=O)N1CCC(n2ccc(Nc3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)nc2=O)CC1,3.0,-4.645099999999999,7.42985,-12.9949999,0.6991730645379417
17,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cccc7c6C(=O)N(C6CCCS(=O)(=O)C6)CC7)cc5C4)[nH]c3c2)n1,3.0,-4.9391,7.3891,-14.8900003,0.6897115540739328
16,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6nccc(N7CCCC7C(=O)O)n6)cc5C4)[nH]c3c2)n1,3.0,-5.055,7.5799,-13.8299999,0.6896590991605869
31,1,CNc1nccc(-c2ccc3nc(C4COc5ccc(-c6n[nH]cc6CN6CCOCC6)cc5C4)[nH]c3c2)n1,3.0,-4.724,7.3522,-13.0699997,0.6890113815917578
33,1,Nc1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(NC6CCNCC6)n5)cc4[nH]2)CO3)cc(=O)[nH]1,3.0,-5.1289,7.6311,-14.0200005,0.6899589433579411
29,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(NCc6ccnc(N7CCCC(N)C7)n6)cc5C4)[nH]c3c2)n1,3.0,-4.5537,7.1876,-13.1300001,0.6880660836743601
30,1,Cc1cc(C2CCCN(Cc3nnc(-c4ccc5c(c4)CC(c4nc6ccc(-c7ccnc(N)n7)cc6[nH]4)CO5)o3)C2)n[nH]1,3.0,-4.6911,7.2143,-14.1899996,0.6880925137094988
27,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6nccc(N=CC7CCOCC7)c6=O)cc5C4)[nH]c3c2)n1,3.0,-5.0314,7.5904,-13.04,0.6869072250226659
26,1,C=CC(C)(CO)N1CCN(Cc2ccc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C(=O)C1,3.0,-4.8146,7.3962,-12.8500004,0.6851383902466723
25,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(NCC(O)c6ccc(C(O)CO)cn6)cc5C4)[nH]c3c2)n1,3.0,-4.2712,6.9745,-12.1199999,0.6838531092720118
24,1,CC(O)CCNc1ncc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)c2ncn(C3CC3)c(=O)c12,3.0,-5.1902,7.6047,-13.3400002,0.6798686214036738
53,1,NC(=O)CNC(=O)N1CCC(Nc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]c7=O)cc6C5)[nH]c4c3)n2)C1,3.0,-3.7523,7.6309,-13.5799999,0.7737055171107673
49,1,COC(=O)N1CCN(CC(C(O)CN2CCCC2=O)n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,3.0,-4.5414,7.7043,-13.2399998,0.7273065023446522
50,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6c(Nc7cnccn7)c(C(=O)N7CCNCC7)n[nH]c6=O)cc5C4)[nH]c3c2)n1,3.0,-4.6474,7.8691,-13.3100004,0.7331323167709933
43,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc7c(c6)C6CCC(O)(n8cncn8)C6C7c6ncc[nH]6)cc5C4)[nH]c3c2)n1,3.0,-4.7613,7.5393,-15.0900002,0.7131361160625985
45,1,C=CC(=O)N1CCC(N2CCOCC2)C(c2ccc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)nc2)C1,3.0,-4.7923,7.7358,-13.8299999,0.7175714243115127
44,1,CC(=O)N1C2COC1CC(n1ncnc1Nc1ccc3c(c1)CC(c1nc4ccc(-c5ccnc(N)n5)cc4[nH]1)CO3)C2,3.0,-4.7407,7.6417,-14.1899996,0.7162168182761472
46,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(Nc6ncncc6C6COCCN6)cc5C4)[nH]c3c2)n1,3.0,-4.3612,7.4102,-13.6499996,0.7197338388245178
47,1,Cc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(C(=O)N7CCC8(CO)CCCNC78)[nH]6)cc5C4)[nH]c3c2)n1,3.0,-4.8392,7.8027,-14.1000004,0.7212230866973814
37,1,CC(C)N(C)C1COC(n2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cc2C(=O)O)C1,3.0,-4.8709,7.6395,-13.1700001,0.7014104561698005
36,1,Cn1c(=O)n(C2CCC(N)C2O)c2cncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c21,3.0,-4.9399,7.6082,-13.71,0.6982042532694284
34,1,Cn1nnnc1-c1ccc2c(c1)CC(c1nc3ccc(-c4ccnc(N5CCC(CO)C5)n4)cc3[nH]1)CO2,3.0,-4.2912,6.991,-13.8299999,0.6946314751336291
35,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cc(C7(Cn8cncn8)CCCO7)[nH]n6)cc5C4)[nH]c3c2)n1,3.0,-4.8482,7.4573,-14.0500002,0.6950920552417716
38,1,Cn1cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)nc1NCC1CCC(N2CCOCC2)=N1,3.0,-4.4045,7.264,-13.4899998,0.7053111058076476
42,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6cnc7c6CCNC(=O)C7=O)cc5C4)[nH]c3c2)n1,3.0,-4.3288,7.2244,-13.8299999,0.7093289412558529
41,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(Cn6ccnc6C#CCN6CCOCC6)cc5C4)[nH]c3c2)n1,3.0,-4.4331,7.4175,-12.5299997,0.7086539667592112
39,1,CC(O)C(C)(O)c1cc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n[nH]c1=O,3.0,-4.6211,7.4046,-14.1199999,0.7059609630123628
54,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6[nH]nc7c6ncn7C6CC(O)C(C(O)CO)C6O)cc5C4)[nH]c3c2)n1,3.0,-3.7726,7.6755,-14.6099997,0.7822125909541351
52,1,CN1CCN(CC(O)CNc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]7)cc6C5)[nH]c4c3)n2)CC1,3.0,-3.8386,7.5131,-12.5200005,0.7529555609868708
51,1,CS(=O)(=O)CC1(O)CC(O)C1n1ccc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n1,3.0,-3.9698,7.6603,-9.5100002,0.7364044625311779
0,30,CC(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,2.8,-4.226956666666666,7.461123333333333,-13.490333263333332,0.7108850872711846
8,2,Nc1nccc(-c2ccc3nc(C4COc5ccc(NC6OC(O)C7C6CCN7C(=O)CO)cc5C4)[nH]c3c2)n1,2.5,-4.27405,7.5661000000000005,-13.384999749999999,0.6849309405495567
7,2,CC(=O)N1CCN(CC2CN(c3nccc(-c4ccc5nc(C6COc7ccc(N)cc7C6)[nH]c5c4)n3)CCO2)CC1,2.5,-3.741,7.6803,-12.7050004,0.722485588076963
6,3,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6n[nH]c(C7(O)C(O)C(O)C(O)C7CO)n6)cc5C4)[nH]c3c2)n1,2.3333333333333335,-3.8496666666666663,7.403533333333333,-14.21333313333333,0.6883079488181275
5,2,Nc1nccc(-c2ccc3nc(C4COc5ccc(CC(O)C(=O)N6CCNCC6)cc5C4)[nH]c3c2)n1,2.0,-3.5871,7.58875,-13.43499995,0.68009230989086
20,1,CC(=O)N1CCc2c(nc(N3CCNC(CO)C3)nc2-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C1,2.0,-3.4054,7.814,-14.7600002,0.7163729433452221
15,1,CC1CN(O)CCN1C(=O)CN1CC2CN(c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)CC1O2,2.0,-3.5774,7.6464,-13.4099998,0.6847580077177603
4,4,Nc1nccc(-c2ccc3nc(C4COc5ccc(N6CC(O)CCC(O)(CO)C6)cc5C4)[nH]c3c2)n1,2.0,-3.4151499999999997,7.627325,-12.72749995,0.6892420484221109
23,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(C(O)NC7CNCC7n7cccn7)cn6)cc5C4)[nH]c3c2)n1,2.0,-3.9006,7.8302,-13.6000004,0.6790771750881416
32,1,CNC(=O)C1CCCN(C(CO)c2cc(C(=O)N3CC(O)C3)c(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,2.0,-4.5395,8.4083,-14.9499998,0.6897175839487995
28,1,CN1CCC(Nc2nccc(-c3ccc4nc(C5COc6ccc(N7CCC8CN(C(=O)OCC9CN(CCO)CCO9)CCC87)cc6C5)[nH]c4c3)n2)CC1,2.0,-3.7232,7.8459,-12.8999996,0.6869449030262106
40,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(CCN6CCOC6CN6CCN(CCO)C(=O)C6)cc5C4)[nH]c3c2)n1,2.0,-3.0399,7.5506,-12.5799999,0.7062915807440358
48,1,COC1(C#Cc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(NC6CNCC(O)(CO)C6)n5)cc4[nH]2)CO3)CN(C)C1,2.0,-3.2699,7.895,-13.2700005,0.7213766222172006
