rank,molID,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,ASP122_HBond,ASP122_SaltBridge,ASP122_Anionic,ASP122_CationPi,ASP122_PiCation,ASP122_Interactions,ASP122_AllContacts,ASP122_Residues,pose_sdf,composite
14,13,O=C(CN1CCNCC1)Oc1ccc(CC(=O)N2CCCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)N6COC(CO)C6)ccc5[nH]4)n3)C2)cc1,7.9208,-3.6005,-11.1199999,2,0,0,0,0,0,0,12,ASP122.A; ASP122.B,top50_hits_docking/mol13_out.sdf,0.5189088982563208
15,14,C=NC1(NC(=O)n2nccc2-c2ccc3[nH]c(-c4nc(C5CCN(C(=O)Oc6ccc(NC(=O)C7CN(C)CN(C(=N)N)C7)cc6)C5)no4)cc3c2)CCNCC1,7.9495,-4.4974,-14.1499996,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol14_out.sdf,0.5168479083653039
16,15,COC(=O)C1CCNCC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCN(c5nccc(-c6cn(C)c(=O)[nH]6)n5)CC4)no3)cc2c1,7.6922,-4.7465,-13.0100002,3,0,0,0,0,0,0,8,ASP122.A; ASP122.B,top50_hits_docking/mol15_out.sdf,0.51519996283912
17,16,CC(C(=O)O)N1CC(N)CC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(CCOc4ccc(C5(CN)CCN(C(=O)OC(C)(C)C)CC5)cc4Cl)no3)cc2c1,8.5177,-5.0569,-12.3000002,2,0,0,0,0,0,0,8,ASP122.A; ASP122.B,top50_hits_docking/mol16_out.sdf,0.515045105264633
18,17,CNCC1CCN(C(=O)n2nccc2-c2ccc3[nH]c(-c4nc(C5CC(=O)N(CCOc6ccc(CN)cc6)C5)no4)cc3c2)CO1,7.7841,-3.8807,-12.8699999,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol17_out.sdf,0.5134048881900019
19,18,Cc1c(-c2noc(-c3cc4cc(-c5ccnn5C(=O)N5CC(N)CC5C(=O)NCCN)ccc4[nH]3)n2)cn(C)c1C(N)=Nc1cccc(C(=N)N)c1,7.4714,-3.707,-14.2600002,2,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top50_hits_docking/mol18_out.sdf,0.5111283702852613
20,19,CC(=O)NC1(C)CCN(CC(O)Oc2ccc(C3CCCN(C(=O)CCc4noc(-c5cc6cc(-c7ccnn7C(=O)C7CCCC(=O)N7C)ccc6[nH]5)n4)CC3O)cc2)CC1,8.1723,-4.8618,-13.7600002,2,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol19_out.sdf,0.5108317809636368
21,20,CC(F)(F)c1cc(C(O)Cc2noc(-c3cc4cc(-c5ccnn5C(=O)CN)ccc4[nH]3)n2)ccc1CN1CCCC(O)CC1,7.7068,-3.9708,-13.6099997,2,0,0,0,0,0,0,9,ASP122.A; ASP122.B,top50_hits_docking/mol20_out.sdf,0.5103452189269503
22,21,CN1CCC(OC(=O)N2CCC(C(=O)n3nccc3-c3ccc4[nH]c(-c5nc(Cc6cnccn6)no5)cc4c3)C(N)C2)CC1,7.9423,-4.1212,-12.5299997,2,1,0,0,0,0,1,4,ASP122.B,top50_hits_docking/mol21_out.sdf,0.5092419732988306
23,22,CC(=O)N1CCC(S(=O)(=O)n2nccc2-c2ccc3[nH]c(-c4nc(C5CCN(C(=O)CCc6ccc(CN)cc6)CC5)no4)cc3c2)CC1,7.5731,-3.6786,-13.3199997,2,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol22_out.sdf,0.5071704821769261
24,23,NC1CCN(C(=O)CCC(=O)n2nccc2-c2ccc3[nH]c(-c4nc(Cc5cccc(CN6CCOCC6)c5)no4)cc3c2)CC1,7.7091,-4.0709,-13.75,2,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top50_hits_docking/mol23_out.sdf,0.5046460103003462
25,24,CN1CCC(CN)(C(=O)N2CCC(C(=O)n3nccc3-c3ccc4[nH]c(-c5nc(Cc6ccncc6)no5)cc4c3)CC2)CC1,7.9731,-4.272,-12.6899996,2,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top50_hits_docking/mol24_out.sdf,0.5042416182893134
26,25,Cc1ccc(Nc2noc(-c3cc4cc(-c5ccnn5C5CCN(C)CC5)ccc4[nH]3)n2)cc1CC(=O)N1CCN(C)CC1,7.2843,-4.479,-14.1400003,3,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol25_out.sdf,0.497971171306323
27,26,NC1CCCCN1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(N4CCN(C(=O)Cc5ccc(O)nc5)CC4)no3)cc2c1,7.7292,-4.5437,-15.0900002,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol26_out.sdf,0.49757158418327363
28,27,Cn1c(Cc2cnc(CCc3noc(-c4cc5cc(-c6ccnn6C(N)=O)ccc5[nH]4)n3)[nH]c2=O)n[nH]c1=O,7.0568,-3.7513,-12.9799995,3,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol27_out.sdf,0.49743692362080566
29,28,CN1CCCCC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(-c4ccc(C(=O)N5CCC(N)CC5)cc4)no3)cc2c1,7.7248,-4.4612,-14.6700001,2,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top50_hits_docking/mol28_out.sdf,0.49365966465274275
30,29,O=C(O)C1OC(OC(=O)n2nccc2-c2ccc3[nH]c(-c4nc(-c5ccncc5)no4)cc3c2)C(O)C(O)C1O,7.1249,-3.0644,-13.3999996,2,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top50_hits_docking/mol29_out.sdf,0.48869769885920583
31,30,CN1CCN(CC2CCC(C(=O)n3nccc3-c3ccc4[nH]c(-c5nc(Cc6ccc(C(N)=NO)cc6)no5)cc4c3)CC2)CC1,7.7955,-4.3338,-13.4700003,2,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol30_out.sdf,0.4868841616321054
32,31,CN(C)CC(=O)N1CCC(c2noc(-c3cc4cc(-c5ccnn5Cc5ccc(OCC(=O)N6CCCC6C(=O)O)cc5)ccc4[nH]3)n2)CC1,7.8874,-4.0895,-11.9399996,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol31_out.sdf,0.48663055992932464
33,32,CC(O)C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(Cc4ccc(C(CN)=NNS(=O)(=O)CCN=C(N)N)cc4)no3)cc2c1,7.2116,-3.1446,-12.9799995,2,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top50_hits_docking/mol32_out.sdf,0.4852451927621647
34,33,CNCC(CCC(N)=O)N1CCC(NC(=O)n2nccc2-c2ccc3[nH]c(-c4nc(Cn5nc(C6CC6)cc5C)no4)cc3c2)C1,7.9991,-4.1408,-11.2600002,2,0,0,0,0,0,0,2,ASP122.A; ASP122.B,top50_hits_docking/mol33_out.sdf,0.48359050689754385
35,34,NCC(NC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(-c4ccc(CN5CCC(O)C5)cc4)no3)cc2c1)C(=O)CCCCC1CCCNC1,7.9765,-4.4028,-12.3400002,2,0,0,0,0,0,0,1,ASP122.A,top50_hits_docking/mol34_out.sdf,0.4825972136068651
36,35,CN(C)Cc1ccc(CN2CCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)N6CCN(C)CC6)ccc5[nH]4)n3)C2)cc1,7.6162,-4.1979,-14.0,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol35_out.sdf,0.48200696415658206
37,36,CN(C)C1CCN(C(=O)c2ccc(-c3noc(-c4cc5cc(-c6ccnn6C(=O)C6CNC(=O)N6C)ccc5[nH]4)n3)cc2Cl)CC1,8.0917,-5.0239,-13.7299995,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol36_out.sdf,0.47946397568311755
38,37,N=C(N)c1cc(N2CCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)NCCN6CCOCC6)ccc5[nH]4)n3)CC2)ccn1,7.5287,-3.9498,-13.4200001,2,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top50_hits_docking/mol37_out.sdf,0.47508585502313777
39,38,CNC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(Nc4ccc(CN5CCCN(C)CC5)c(Cl)c4)no3)cc2c1,7.4426,-4.6792,-12.9099998,3,1,0,0,0,0,1,5,ASP122.B,top50_hits_docking/mol38_out.sdf,0.4739688927267919
40,39,NCCC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCN(CC(CO)c5ccc(O)cc5)CC4)no3)cc2c1,7.5024,-3.4902,-11.6999998,2,0,0,0,0,0,0,10,ASP122.A; ASP122.B,top50_hits_docking/mol39_out.sdf,0.4695631185257616
41,40,CC(CN1CC(O)C1)Oc1ccc(-c2noc(-c3cc4cc(-c5ccnn5CC5CNCCO5)ccc4[nH]3)n2)cc1Cl,7.6311,-3.9817,-12.5900002,2,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top50_hits_docking/mol40_out.sdf,0.4682578195392766
42,41,CC1CN(c2noc(-c3cc4cc(-c5ccnn5C(=O)NC5CCOC5)ccc4[nH]3)n2)CCN1C(=O)Cc1ccc(N)nc1,7.7114,-4.3011,-13.2200003,2,0,0,0,0,0,0,2,ASP122.A; ASP122.B,top50_hits_docking/mol41_out.sdf,0.46818824930857605
43,42,CN=C(N)N1CCC(CO)(N2CCCC(C(=O)n3nccc3-c3ccc4[nH]c(-c5nc(Cc6ccc(F)cc6)no5)cc4c3)C2)CC1,7.8564,-4.3217,-12.3100004,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol42_out.sdf,0.468043764684605
44,43,NC(=O)C1CCN(c2ccccc2-c2noc(-c3cc4cc(-c5ccnn5C(=O)CCC5CCCN5C(=O)C5CCCN5)ccc4[nH]3)n2)C1,8.0275,-4.5851,-11.9300003,2,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol43_out.sdf,0.4628886286372014
45,44,O=C(Nc1cccc(C2CCC(C(=O)O)N2)c1)C1CCN(c2noc(-c3cc4cc(-c5ccnn5C(=O)N5CCOCC5)ccc4[nH]3)n2)CC1,7.6869,-4.8189,-15.0900002,2,0,0,0,0,0,0,9,ASP122.A; ASP122.B,top50_hits_docking/mol44_out.sdf,0.46279557415032035
46,45,O=C(O)c1cnc(-c2noc(-c3cc4cc(-c5ccnn5C(=O)C5CN(C(=O)CC6CCOCC6)CCC5C(=O)O)ccc4[nH]3)n2)[nH]1,7.9262,-4.7845,-13.2799997,2,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top50_hits_docking/mol45_out.sdf,0.46104569619097735
47,46,CCC(C)C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(-c4ccc(CC(=O)NCCN5CCOC(C(=O)O)C5)cc4)no3)cc2c1,7.6203,-4.1709,-13.04,2,0,0,0,0,0,0,2,ASP122.A; ASP122.B,top50_hits_docking/mol46_out.sdf,0.45970698127918724
48,47,NCc1cn(Cc2noc(-c3cc4cc(-c5ccnn5C(=O)NCCN5CCOCC5)ccc4[nH]3)n2)c(=O)[nH]c1=S,7.363,-3.4061,-11.9300003,2,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top50_hits_docking/mol47_out.sdf,0.45877256853333975
49,48,NC1(C(=O)N2CCC(NC(=O)n3nccc3-c3ccc4[nH]c(-c5nc(C6CCN(C(=O)CCc7ccc(Cl)c(Cl)c7)CC6)no5)cc4c3)CC2)CNC1,7.7555,-4.7409,-14.1199999,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol48_out.sdf,0.4569299498241259
50,49,Cc1cc(CN2CCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)CC6CNC(N)=N6)ccc5[nH]4)n3)CC2)ccc1Cl,7.5945,-4.3904,-13.7799997,2,0,0,0,0,0,0,7,ASP122.A; ASP122.B,top50_hits_docking/mol49_out.sdf,0.45321927710580756
