SMILES,SMILES_state,NLL,pIC50_pred,solubility_pred,SA_score,valid_mol
COCCN1CCN(CCN=C(NC#N)NC(C)C)CC1,1,23.4,6.5663614,-0.93692505,2.6874451849693273,True
O=C(CO)N1CCN(CCOc2ccc(Nc3ccc4ncnc(N5CCOCC5)c4n3)cc2)CC1,1,14.64,7.115396,-2.8434796,2.609603843860981,True
CN1CCN(C(=O)NCC2CCCOC2)CC1,1,12.67,6.3338146,-0.18144993,2.6224858223046557,True
CN(CC1CCCO1)C(=O)COC(=O)c1ccccc1Cl,1,25.4,6.5173225,-2.5637,2.453094800869131,True
CC(=O)N1CCN(C(=O)Cn2cc(Nc3ncc4ccnc(N5CCOCC5)c4n3)cn2)CC1,1,16.47,7.218236,-2.0894914,2.788455218297141,True
CN(CCc1ccccc1)C1CCN(C(=O)Cn2ccc(-c3cnccn3)n2)CC1,1,19.44,6.575159,-3.169996,2.5107551516193087,True
Cc1ncc(NC(=O)c2c(Cl)cccc2Cl)s1,1,16.54,6.892266,-4.589646,2.326287203771816,True
COc1ccc(C(=O)NCC2CN(Cc3ccccc3F)CCCO2)cc1OC,1,22.3,6.504256,-3.4156466,2.5069088636176016,True
CNc1ncc(-c2cccnc2NC2CCN(S(=O)(=O)CC3CCN(C)CC3)C2)cn1,1,19.61,7.249574,-2.9892693,3.297400897252956,True
COc1ccccc1-c1cncnc1C(C)(N)CO,1,27.53,7.2577024,-1.897642,2.9435685601623085,True
CCCN1CCC(O)(C#Cc2cncc3ccccc23)CC1,1,24.92,6.167028,-2.4324703,2.7038577321867567,True
CNC(=O)N1CCOC(c2ccc(Cl)cc2)C1,1,17.52,7.039126,-2.1588192,2.5630138835291465,True
Cc1cnccc1Nc1cc[nH]c(=O)c1,1,21.43,6.8780794,-2.9480336,2.44299179501143,True
COCC(=O)N1CCC(NCCC(O)c2nncn2C)CC1,1,24.42,6.5934224,-0.87103534,3.1249356092475544,True
Cc1c(Nc2ccc(OCCN3CCCC3)cc2)nc2ccccn2c1=O,1,14.66,6.525447,-4.541591,2.270892466219715,True
O=C(O)C1CN(C(=O)CO)CC2CN(CC(F)(F)F)CC21,1,20.81,6.808879,-1.2517633,3.780380531501656,True
CCN1CCN(c2ncc(C#N)c3sc(Nc4cn(CC(=O)N5CCN(CCO)CC5)nn4)nc23)CC1=O,1,15.11,7.228448,-2.6351204,3.3259848024549257,True
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)COCCO)C1,1,18.09,7.1184845,-1.6413027,3.3121512884905924,True
CC(C)COC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,1,15.36,6.8399673,-4.2101073,3.029393889278789,True
CC(C)NC(=O)C(C(C)CCO)N1CCN(C)CC1,1,23.76,6.5029626,-0.4218232,3.254280183091109,True
O=C(CCCCCCCC(=O)NS(=O)(=O)c1cncc(-c2cnc3cc[nH]c3c2)c1)NO,1,31.42,6.948991,-4.659233,2.727636129547246,True
Cc1cc(Nc2ncc(C)c(Nc3c(Cl)cncc3Cl)n2)ccc1CCN1CCN(CCO)CC1,1,21.55,7.239434,-3.8725758,2.734714370481635,True
COCCNCc1nc(C(=O)NCCCN2CCOCC2)sc1N(C)C,1,18.84,6.4330416,-1.0265067,2.8226538137879853,True
O=C(CNC(=O)c1cnn2ccccc12)NC1CC1,1,24.1,6.922516,-2.1418726,2.193379712755286,True
CCN1CCN(CC2CCCN(C(=O)Cn3cccn3)C2)CC1,1,15.19,5.879328,-1.6581047,2.7472596062353283,True
CCOC(=O)c1cnc(N)nc1NC1CCN(Cc2ccn[nH]2)CC1,1,18.41,6.5276604,-2.6346116,2.6201396977151035,True
N#CCC(=O)N1CCC(Nc2ccnc(C#N)c2)CC1,1,13.91,7.0331182,-2.536015,2.5914299654319226,True
CC(C)(CO)NCCNC(=O)Nc1cnc2ccccn12,1,21.88,7.0265827,-1.8297064,2.7073015083070064,True
CCN(CC)C(=O)C1CCN(CCN2CCN(C(=O)Cn3cc(NC(=O)N4CCC(O)CC4)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,1,14.11,7.792222,-4.4304338,3.180921823720251,True
N#CCCN(CCO)CC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,1,16.54,6.4029956,-2.8956864,3.260426253950972,True
CC1CN(Cc2cncnc2)CCN1c1ncnc2ccc(Nc3cnn(CC(=O)N4CCN(C)CC4)c3)nc12,1,13.49,7.6535664,-2.5910788,3.4973261987163236,True
CN(c1ncnc2c1ccn2C)C1CC(CS(=O)(=O)c2cccn3ccnc23)C1,1,15.2,7.1461964,-4.201406,3.2437525387820134,True
NC(=O)c1cnc(NC2CCCN(S(=O)(=O)CCO)C2)nc1,1,19.31,6.6486077,-1.809523,3.058393893427679,True
O=C(Cn1cc(Nc2nc3c(N4CCOCC4)ncc(-c4ccc(CN5CCOCC5)cc4)n3n2)cn1)N1CCN(CCO)CC1,1,13.63,7.9958577,-2.5883071,3.0966199346076912,True
COc1ccnc(NCc2cccnc2)c1C=O,1,25.58,6.65794,-2.5620825,2.29687104729369,True
COC1CCN(c2nccc(Nc3cc(C(N)=O)n(C(CC#N)C4CC4)n3)n2)CC1,1,14.85,6.834252,-3.9583302,3.6787769226620757,True
CN1CCN(C(=O)Cn2cc(Nc3nc4c(N5CCN(C(=O)Cc6cncnc6)CC5)cccn4n3)cn2)CC1,1,18.5,7.5735,-2.7483668,3.0295391041283253,True
O=C(NCCN1CCN(CCCO)CC1)Nc1ccccc1,1,12.34,6.4672284,-1.2651174,1.8234370591098354,True
CONC(=O)c1cn(CCN(C)CCCN2CCN(CC(=O)Nc3cc(OC)cc4cccnc34)CC2)nn1,1,22.29,7.026838,-2.487498,2.849891825455913,True
Cc1cncc(N2CCC(NC(=O)c3ccccc3-c3cncnc3N)CC2)n1,1,21.76,6.803906,-3.8285522,2.542264372070676,True
c1ccc(-c2ncc(CN3CCNCC3)cn2)nc1,1,16.31,6.641566,-1.3524772,2.249650562957715,True
N#CCC(=O)N1CCCC(Nc2nc(-n3nccn3)cc3[nH]ncc23)C1,1,20.63,6.7986717,-3.4687848,3.675840050261561,True
CC(C)OCC(=O)N1CCN(C)CC1,1,12.78,6.486505,0.33599493,2.0493328124127874,True
O=C1NCN(C2CCC(O)CC2)c2c1ccc1ncccc21,1,21.97,6.555113,-3.2751372,2.6977156648790643,True
COc1cncc(-c2nn(CC(=O)N3CCCN(C)CC3)cc2NC(=O)c2cnn3cccnc23)c1OC,1,20.59,6.4949465,-3.2576213,3.0096243225678396,True
O=c1[nH]ncc2nc(-c3cc(F)c(O)cc3CC(F)(F)F)nc(NCc3cccnc3)c12,1,20.32,6.360049,-5.0318813,3.0285202039343986,True
Cc1cnn(CC(=O)N2CCOCC2)n1,1,12.22,7.082539,-0.9219707,2.6269298987681395,True
O=C1NCc2[nH]ncc21,1,12.57,6.913922,-0.80463547,3.239519723201888,True
COC(=O)CNC(=O)C1CCN(C(=O)C(C)NC(=O)C2CCC(C)CC2)CC1,1,22.49,6.348708,-2.5347538,2.670633692505099,True
C1=CC(=NOCc2ccccc2)CNC1,1,24.94,6.375348,-1.945807,2.807077734188532,True
O=C(CN1CCN(c2nccn3nc(Nc4cnn(CC(=O)N5CCCC5)c4)nc23)CC1)N1CCOCC1,1,16.07,7.511752,-2.617849,2.915433082271438,True
Cn1nc(-c2nn(CC(=O)N3CCN(CC(=O)O)CC3)cc2NC(N)=O)c2cccnc21,1,19.88,7.139449,-2.7839572,2.777335588549782,True
COc1cc(CO)ccc1-c1nn(CCN(CCO)CCO)c2ncnc(N)c12,1,18.84,6.912486,-2.2116327,2.747104508763252,True
CN(C)C(=O)c1ccc2c(c1)[nH]c1c(C(N)=O)cc(-c3cccnc3)cc12,1,18.05,6.365348,-5.1277914,2.3568144233764823,True
CN1CCC(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C6CC6)c5)c4n3)cc2)CC1,1,13.09,6.9717026,-4.8456593,2.727441872776911,True
COCCN(CCNC(=O)N1CCC(CNS(C)(=O)=O)C1)CCOC,1,18.53,6.593612,-0.8012686,2.9466834040859666,True
O=C(Nc1nc2cccc(-c3ccc(C(=O)N4CCC4)cc3)n2n1)C1CC1,1,18.69,6.1964173,-4.216097,2.248065022777082,True
COc1cccc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)cc4)c3n2)c1,1,12.24,6.218751,-5.272495,2.1651013624652737,True
OCCCN1CCN(Cc2ccc3ccccc3c2)CC1,1,21.35,6.3971415,-2.0632088,1.7702602457423424,True
CCN1CCN(C(=O)Cn2cc(Nc3ccc4ncnc(N5CCOCC5)c4n3)cn2)CC1,1,9.84,7.285135,-2.4621897,2.714987437150697,True
CCn1cc(C(=O)NCCCN2CCOCC2)c(C)n1,1,20.46,6.3217254,-0.7931252,2.201910937091842,True
COc1ccc(F)cc1-c1nn(CCO)c2c1cnc1[nH]ccc12,1,17.36,6.7848706,-3.7953641,2.6074040414482127,True
OCCOCCn1ccnn1,1,11.7,6.969097,0.67933124,2.6224190862972296,True
N#CCC(=O)NC1CCOCC1,1,7.75,7.427438,-0.26600033,2.4016659957969786,True
COCCNCc1nc(NC(=O)CC#N)ccc1N(C)C,1,16.32,6.824921,-1.4930819,2.669067227859225,True
Cn1nccc1-c1nn(CC(=O)N2CCC(=O)CC2)nc1-c1ccnc(N)c1,1,15.13,6.9677653,-2.9039156,2.9915961985088177,True
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)C3CCC(c4ccccc4)CC3)CC2)C1,1,17.78,7.6638107,-4.047321,3.193683494817959,True
Cn1ccnc1CNC1CCN(C(=O)Cn2cccn2)CC1,1,19.99,6.6211667,-0.9076105,2.4625452321867556,True
CC(C)CS(=O)(=O)N1CC(N)C(N(C)Cc2ccncc2)C1,1,19.54,6.0459433,-1.1803087,3.502204325260136,True
O=C1CCCN1CCN1CCCN(C(=O)C2CCC2)CC1,1,20.56,6.0981083,-1.4367341,2.1236720819706303,True
N#CCCN1CCN(CCOCCOCCOCCOCCNCCO)CC1,1,13.63,6.5456433,0.2937196,2.619135124399998,True
CC(=O)N1CCN(C(=O)Cn2cc(Nc3ccc4ncnc(N5CCN(C(=O)Cc6ncc(C(C)C)cn6)CC5)c4n3)cn2)CC1,1,22.93,7.9434605,-2.5125272,3.180009784463718,True
O=C(CCO)N1CCCC(Nc2c(-c3cnn(CCO)c3)cnc3[nH]ccc23)C1,1,13.1,7.127473,-2.702935,3.3494196407922328,True
O=S(=O)(c1ccccc1)N1CCCOCC1CN1CCOCC1,1,17.52,6.616525,-1.5708214,2.7170212595074297,True
OCCc1cc(CN2CCCC(O)C2)on1,1,20.56,6.866481,-0.26238257,2.9220411783747124,True
O=C1NCN(c2cncnc2)c2c1cnc1[nH]ccc21,1,14.93,7.050462,-3.6230068,3.217791675443589,True
O=C1NCC(=Cc2c(F)cccc2F)CN(C2CCN(C(=O)CO)CC2)CC1CN1CCCC1=O,1,23.02,6.94015,-3.1314774,3.713738812030366,True
O=C(CC(=O)N1CCN(CCN2CCOCC2)CC1)N1CCCC1,1,19.4,5.898836,-0.4657586,2.1953490677262817,True
O=c1cnc2cnc(Nc3cnn(CCO)c3)nc2n1Cc1ccccc1,1,14.53,6.804968,-3.1112547,2.523760041682227,True
CC1CN(C2CCN(Cc3ccccc3)CC2)C(C)CN1C(=O)Cc1ccccc1,1,16.1,5.921623,-3.4486825,2.925162348291675,True
CCOC(=O)c1ccc(N2CC3CCCC(C2)N3C(=O)N2CCN(C(C)=O)CC2)nc1C,1,22.31,6.3851094,-2.7063468,4.025068293927309,True
CN1CCN(C(=O)NCCOc2ccccc2Cl)CC1,1,10.28,6.8094583,-2.1255112,1.8682380625979143,True
CN(CCO)CC1CN(S(C)(=O)=O)CCCO1,1,12.02,7.0866723,-0.34559295,2.9700549370408513,True
c1cnc2c(-c3cnccn3)cnn2c1,1,17.6,6.75779,-1.5604012,2.5364685034193,True
COc1ccc(S(=O)(=O)N2CCOCC2)cc1-n1cccn1,1,15.62,7.150967,-2.1221013,2.1733189615823605,True
O=C(CO)N1CCCC(Nc2cc(-c3cccnc3)ccn2)C1,1,19.33,6.7815742,-2.1051068,2.760039399576314,True
CN1CCN(C(=O)Cn2cc(Nc3nn(CC(=O)N4CCN(C)CC4)c4ccccc34)cn2)CC1,1,19.15,7.391303,-1.9471548,2.6539819988136983,True
CN1CCCN(C(=O)Cn2cc(Nc3nc4c(N5CCN(CC(F)(F)F)CC5)ncc(-c5ccccc5)n4n3)cn2)CC1,1,16.07,7.8439736,-3.8617802,3.0566413840968263,True
N#CC1CCN(Cc2ccccc2)CC1Oc1cccnc1,1,22.15,6.749517,-3.110458,3.0425494731891307,True
Cn1cc(-c2cc(CO)n(C)n2)nc1-c1cnn(CC(=O)N2CCOCC2)n1,1,18.14,6.8887095,-1.9749405,3.2209456215857397,True
CN1CCN(C(=O)Cn2cc(Nc3ccn4ncc(-c5ccc(C(=O)NC6CCNCC6)cc5)c4n3)cn2)CC1,1,8.77,7.8599663,-3.2976468,2.9017272698088004,True
CC(C)CCN1CCN(C(=O)Nc2ccc(N(C)C)nc2)CC1,1,12.02,6.2565594,-2.3271885,2.1863277537430648,True
Cc1[nH]ncc1-c1nc2ccc(-c3cccc(O)c3)cc2o1,1,25.71,6.973558,-5.202603,2.4104317706482963,True
CCn1ncc(-c2ccnc(NS(=O)(=O)CC)n2)c1[N+](=O)[O-],1,20.77,6.5397935,-2.959879,2.940014126417527,True
O=C(Cn1ccc2cnccc21)N1CCOCC1,1,14.9,7.322513,-1.4386822,2.21761919957682,True
O=C(c1cnn2c(NC3CCC(O)CC3)nc(N3CCCC3CO)nc12)N1CCOCC1,1,12.27,7.2157316,-2.8100035,3.3345824311813006,True
CC1CN(c2ccc(Nc3cn4cccc(N(C)Cc5ccccc5N(C)S(C)(=O)=O)c4n3)cc2)CCN1C,1,21.36,6.8609834,-4.3759665,3.4938684553163304,True
CN1CCN(S(=O)(=O)CC2CC(N(C)c3ncnc4[nH]ccc34)C2)CC1,1,10.76,6.9224176,-2.5272658,2.9594332829304673,True
COCCOCC(=O)N1CCCC(NC(=O)NC(C)C)C1,1,20.61,6.5217376,-0.7767511,2.668924940688399,True
O=C(CCC(=O)N1CC(O)C(C(F)F)C1)N1CCOCC1,1,15.98,6.8842263,-0.80944574,3.362683925375574,True
CN1CCN(C(=O)Cn2cc(Nc3ccc4ncnc(N5CCOCC5)c4n3)cn2)CC1,1,6.78,7.375647,-2.05417,2.7083974216103393,True
OC1CCN(Cc2ccc(OCCN3CCCC3)cc2)CC1,1,18.06,6.151192,-1.8710102,1.8786656057074662,True
CN1CCN(C(=O)Cn2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)CC1,1,12.55,7.017477,-2.5641794,2.8927376932156434,True
c1nc(NOCCN2CCOCC2)c2cc[nH]c2n1,1,13.81,6.6067905,-1.7877498,2.761700765386866,True
CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)cc1,1,12.6,6.781645,-4.1267996,2.5711898574485517,True
COCCn1cnc2cnc3[nH]ccc3c21,1,13.68,6.918073,-1.9504122,2.602965496624927,True
Cc1cccc(NC(=O)NCCc2ccncc2)c1,1,22.16,6.769373,-2.924394,1.7188878246433976,True
CNCCNC(=O)N1CCOC(C)C1,1,14.15,6.883833,0.27162156,2.76855880454049,True
CCNC(=O)N1CCOCC1,1,9.01,7.0618806,0.39349794,1.9121670856768809,True
CN(C)S(=O)(=O)c1ccc(C2CC2CN)cc1,1,13.48,7.4859157,-1.8858794,2.8518117305159407,True
COCCOC1CCN(C(=O)OCC2CCN(C)CC2)C1,1,17.14,6.6200895,-0.6007465,2.830439768274605,True
CCOC(=O)N1CCOCC1,1,7.73,7.1335244,0.4367702,1.788302073269934,True
Cc1ccn(CCNCC(=O)N2CCN(C)CC2)n1,1,9.03,6.5054126,-0.5606649,2.337869456345029,True
CC(C)Cn1cc(-c2[nH]nc3cnc(Nc4ccccc4)nc23)cn1,1,22.1,6.82169,-4.239288,2.730547337335757,True
N#Cc1ccsc1C(=O)N1CCN(CCN2CCOCC2)CC1,1,18.15,5.9169836,-1.8087999,2.339359979632846,True
CN(CC1CCC(=O)O1)C1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,1,15.29,7.313575,-3.2791216,3.9644553385550143,True
NC(=O)CC1CCN(C(=O)CO)CC1,1,16.12,7.2511487,-0.3085696,2.178583014841937,True
COCCNC(=O)c1cnc2[nH]ccc2c1NC1CCN(C)CC1,1,17.9,6.5759177,-2.1654475,2.5176067170334964,True
CN1CCN(CCn2cc(-c3cnc4[nH]ccc4c3)cn2)CC1,1,14.03,6.36662,-2.1580071,2.537832985643517,True
O=C(c1cc2ccccc2[nH]1)N1CCC(N2CC(CCO)(n3cc(-c4ncnc5[nH]ccc45)cn3)C2)CC1,1,20.24,7.9276123,-4.165836,3.2108511436020013,True
O=C(NCC1CCN(CCC2CC(F)(F)C2)CC1)c1ccc[nH]c1=O,1,21.62,6.2029614,-3.0638175,2.6472510163964227,True
c1cc(-c2cncc(Nc3ccc(N4CCOCC4)cn3)n2)ccn1,1,18.84,6.425632,-3.7824047,2.4359361592535667,True
CCn1nc(CO)cc1Nc1cnn(C2(CC#N)CCN(C(=O)OCC(C)C)CC2)c1,1,18.8,7.033601,-4.0076556,3.324816700949878,True
N#Cc1cnn(CN2CCN(CCO)CC2)c1,1,16.98,6.5376844,-0.60668033,2.6018785127667723,True
CCCOC(=O)N1CCOCC1,1,10.21,7.050391,-0.06480267,1.9109175795073856,True
Cn1cc(Nc2ncc(C(N)=O)c(NCc3cccnc3)n2)cn1,1,15.59,6.5555625,-2.7925866,2.4497826367659385,True
N#CCC1CCC(n2nc(Nc3cc[nH]n3)c3c(=O)[nH]ccc32)CC1,1,22.12,6.767082,-4.5601673,3.536956821002775,True
CNCc1cnn(-c2cnn(Cc3c(C)noc3C)c2)c1,1,13.59,6.754723,-2.0743237,2.7040336204321687,True
O=C(c1ccc(OCCN2CCNCC2)cc1)c1cccs1,1,18.73,6.396034,-2.3506036,2.0730272625122,True
COC(=O)c1cnc2[nH]ccc2c1NC(=O)C1CC1,1,14.06,6.868393,-3.245966,2.3700141104330807,True
O=C(Cn1cccn1)N1CCC(O)(CC(=O)N2CCOCC2)CC1,1,21.6,6.5310397,-1.1635286,2.649293673555235,True
CN1CCC(Nc2ccnc3c(C(N)=O)cccc23)CC1,1,18.81,6.9199095,-2.4833739,2.206075158893709,True
COC(=O)c1cnn2ccc(N3CCCC3c3cncc(F)c3)nc12,1,15.06,6.327859,-3.92422,3.172038922480617,True
Cc1nc(=Nc2ccc(NC(=O)CCCCCCC(=O)NO)cc2)nc(N(CCCO)c2ccccc2)[nH]1,1,27.58,7.1733255,-5.4294243,3.1030109139580997,True
CC(=O)NCC1CN(CC2CCCN(C(=O)CC#N)C2)CCO1,1,17.32,6.162512,-1.1709031,3.294310504360821,True
COCCN(C)c1ccnc(C(C)O)n1,1,21.0,6.751232,-0.44070125,3.0559555143011368,True
COc1cccc(CCNc2nc(C)ncc2CNc2nc(=O)cc[nH]2)c1,1,35.15,6.286246,-3.9746747,2.7306082103587332,True
OC1CCN(Cc2cnc3[nH]ccc3c2)CC1,1,14.02,6.6914167,-1.6236799,2.3639419664559416,True
O=C(Cn1cnc(NCc2cccnc2)c(Cl)c1=O)N1CCNCC1,1,19.65,6.443647,-2.4303274,2.560085851561258,True
CCCOCCn1ccc(-c2ncnc3[nH]ccc23)nc1=O,1,10.68,7.076504,-2.3447173,2.793851241802141,True
COc1cncc(NCc2nc(-c3ccncc3C)n[nH]2)c1,1,23.7,6.859989,-3.1778808,2.600868309109833,True
COCCn1cc(F)c(-c2ccnc(N)n2)c1,1,15.37,7.1200457,-1.6239243,2.7434800433790176,True
CC(C)OCn1cnc(C(N)=O)c1,1,18.57,7.3484397,-0.8198192,2.8531026071516816,True
O=c1[nH]ccc2c(NC3CCOCC3)ncnc12,1,8.19,7.29916,-2.4328568,2.629986398415717,True
O=C(N1CCC(NS(=O)(=O)N2CCOCC2)CC1)C1(O)CCOCC1,1,18.85,6.815261,-1.5425822,2.8227355265341725,True
CN(C)c1c(CNCCNC(N)=O)cnc2[nH]ccc12,1,13.67,7.10728,-1.8939378,2.821397663523305,True
CC(C)OCC(=O)N1CCOCC1,1,9.91,7.1778936,0.3104066,2.095062826931903,True
COCC(=O)N1CCC(CC#N)(n2ncc(-c3cncc(-c4cc(CO)n(C)n4)c3)n2)CC1,1,19.55,7.1471705,-2.8213398,3.452876233614159,True
CC1CN(C2CCN(Cc3cccnc3F)CC2)CCN1C(=O)CO,1,18.16,6.4084888,-1.6476927,3.0194119452325117,True
CNC(=O)c1n[nH]c2ncnc(C3CC3)c12,1,14.89,7.033153,-2.3329604,2.8466315522714076,True
CC(C)C(=O)N1CCCc2c(ncnc2N(C)C)C1,1,19.63,6.4916773,-1.7384324,2.5446844464830978,True
N#CCC(=O)N1CCC(Nc2ncnc3c2ncn3-c2ccc(C(=O)N3CCOCC3)cc2)C1,1,30.6,7.1901426,-3.1856787,3.1791219255801373,True
O=C1NCn2nccc21,1,11.58,7.015927,-0.501219,3.412341024977036,True
CN(CC#N)CCN(C)CC1CCCO1,1,18.07,6.503178,-0.38300154,3.114665860052945,True
Cc1cnc(Nc2ccc3c(c2)CCN(S(C)(=O)=O)CC3)nc1-c1cnn(C(C)C)c1,1,14.43,6.920624,-3.5890346,2.729409804398154,True
CN(C)Cc1ccc(N(C)c2ccnc(-n3ccnc3)n2)cc1,1,13.82,6.5937123,-3.4468832,2.527536975771037,True
N#Cc1cc(-c2nn(CC(=O)N3CCC(O)CC3)cc2NC(=O)c2cnn3cccnc23)cnc1OCCC(F)F,1,17.93,7.261392,-4.3048296,3.308344234462931,True
CC(C)NC(=O)C1CC(CC#N)(N(C)S(=O)(=O)c2cccc3cnccc23)CN1,1,25.17,7.2284894,-2.9390154,3.8790045434407583,True
NN1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,1,13.34,7.13959,-4.5159273,3.063937248938105,True
c1coc(CN2CCC(Cn3ccnn3)CC2)c1,1,15.64,6.5309453,-1.5164138,2.408059015735505,True
C=CC(=O)N1CCOCC1,1,9.08,6.9693937,0.48895472,2.2538418941480405,True
CN(C)c1ccc(C=C2C(=O)NC(=O)NC2=O)cc1,1,13.29,6.6482706,-2.855771,2.261075274885462,True
Cn1c(CO)cnc1-c1cn[nH]c1,1,11.93,6.990598,-0.46813855,2.9909740535431286,True
CC1CN(C(=O)N2CCN(C)CC2)CCO1,1,13.78,6.4468274,-0.027822418,2.662823853959999,True
COCCOCC1CC2C(CCN2Nc2ccncc2)O1,1,25.03,6.709146,-1.1470323,3.9448706059433434,True
N#CCC1(n2cc(-c3cncn4ccnc34)cn2)CN(C2CCN(C(=O)Nc3cccc(Cl)n3)CC2)C1,1,21.09,7.474952,-5.1359415,3.342810028731847,True
Cc1ccncc1N(C)c1ncnc2[nH]ccc12,1,14.08,7.247312,-2.9553847,2.7547314023232765,True
CCn1c2ccccc2c2cnc(Nc3cnn(CCOC)c3)nc21,1,19.54,7.082738,-3.789074,2.4472948610449254,True
